# Version: 8600bcfa3c p-2025.12-push-40
# Command Line: C:\Program Files\Coverity\Coverity Static Analysis\bin\cov-analyze --dir C:\coverity-testing\helion-4\idir --strip-path C:\coverity-testing\helion-4 --ticker-mode none --recommended-security-checkers --enable-scan-transparency-data
timer                                                                                     ms      calls
    INVALIDATE_ITERATOR                                                                    0          2
  LOCK_EVASION                                                                             0          1
  LOCK_INVERSION                                                                           0          1
  MISMATCHED_ITERATOR                                                                      0          1
  MISSING_BREAK                                                                            0          1
  MISSING_COMMA                                                                            0          1
  MISSING_RESTORE                                                                          0          1
  MISSING_RETURN                                                                           0          1
  MISSING_THROW                                                                            0          1
  MULTIPLE_INIT_SMART_PTRS                                                                 0          1
  NEGATIVE_RETURNS                                                                         0          1
  NESTING_INDENT_MISMATCH                                                                  0          1
  NO_EFFECT                                                                                0          1
  NULL_FIELD                                                                               0          1
  NULL_RETURNS                                                                             0          1
  ORM_LOAD_NULL_CHECK                                                                      0          1
  OVERFLOW_BEFORE_WIDEN                                                                    0          1
  OVERLAPPING_COPY_INTERNAL                                                                0          1
  OVERRUN                                                                                  0          1
  OVERRUN_SYMBOLIC                                                                         0          1
  PASS_BY_VALUE                                                                            0          1
  PREDICTABLE_RANDOM_SEED                                                                  0          1
  PRINTF_ARGS                                                                              0          1
  PRECEDENCE_ERROR                                                                         0          1
  PROPERTY_MIXUP                                                                           0          1
  READLINK                                                                                 0          1
  REGEX_CONFUSION                                                                          0          1
  RESOURCE_LEAK                                                                            0          1
  RETURN_LOCAL                                                                             0          1
  REVERSE_INVALID_ITERATOR                                                                 0          1
  REVERSE_NEGATIVE                                                                         0          1
  REVERSE_INULL                                                                            0          1
  SIGN_EXTENSION                                                                           0          1
  SIZEOF_MISMATCH                                                                          0          1
  STRAY_SEMICOLON                                                                          0          1
  STREAM_FORMAT_STATE                                                                      0          1
  SWAPPED_ARGUMENTS                                                                        0          1
  UNNECESSARY_STRING_COPY                                                                  0          1
  USE_AFTER_MOVE                                                                           0          1
  UNCAUGHT_EXCEPT_INTERNAL                                                                 0          1
  UNEXPECTED_CONTROL_FLOW                                                                  0          1
  UNINIT                                                                                   0          1
  UNINIT_CTOR                                                                              0          1
  UNINTENDED_GLOBAL                                                                        0          1
  UNINTENDED_INTEGER_DIVISION                                                              0          1
  UNLOCKED_ACCESS                                                                          0          1
  UNLOGGED_SECURITY_EXCEPTION                                                              0          1
  UNREACHABLE                                                                              0          1
  UNRESTRICTED_ACCESS_TO_FILE_PRE                                                          0          1
  UNUSED_VALUE                                                                             0          1
  USELESS_CALL                                                                             0          1
  VARARGS                                                                                  0          1
  VIRTUAL_DTOR                                                                             0          1
  WRAPPER_ESCAPE                                                                           0          1
  WRONG_METHOD                                                                             0          1
  __XML_EXTERNAL_ENTITY_GO                                                                 0          1
  EXTRACT_XREF_SUMMARY                                                                     0          1
  FUNCTION_METRICS                                                                         0          1
  DC.DEADLOCK                                                                              0          1
  DC.DANGEROUS                                                                             0          1
  CODEXM_FUNCTIONS_CHECKER_PASS_BEFORE_TUS                                                 0          1
  FRAMEWORK_ANALYSIS_SPRING                                                                0          1
  RELAX_ACCESS_DBUFFER                                                                     0          1
  RELAX_AFM_ALLOC                                                                          0          1
  RELAX_AFM_FREE                                                                           0          1
  RELAX_ALLOC                                                                              0          1
  RELAX_CLOSE_RESOURCE                                                                     0          1
  RELAX_CUDA_COLLECTIVE_OPERATION_SINK                                                     0          1
  RELAX_CUDA_THREAD_IDX_SOURCE                                                             0          1
  RELAX_BUFFER_SIZE                                                                        0          1
  RELAX_CHECKED_RETURN                                                                     0          1
  RELAX_EXPENSIVE_DTOR                                                                     0          2
  RELAX_CUDA_INACTIVE_THREAD_AT_COLLECTIVE_WARP_SINK                                       0          1
  RELAX_CUDA_INVALID_MEMORY_ACCESS_SOURCE                                                  0          1
  RELAX_CUDA_INVALID_MEMORY_ACCESS_SINK                                                    0          1
  RELAX_CUDA_SHARE_FUNCTION                                                                0          1
  RELAX_CUDA_SHARE_OBJECT_STREAM_ASSOCIATED_SINK                                           0          1
  RELAX_DEREF_ARGS                                                                         0          1
  RELAX_DIVISOR                                                                            0          1
  RELAX_FREED_ARGS                                                                         0          1
  RELAX_OBJECT_FREED                                                                       0          1
  RELAX_OBJECT_USED                                                                        0          1
  RELAX_INDEX_GENERIC                                                                      0          1
  RELAX_MAYWRITE_NONPTR_FIELDS                                                             0          1
  RELAX_ZERO_RETURN                                                                        0          1
  RELAX_NEGATIVE_RETURN                                                                    0          1
  RELAX_NEGATIVE_SINK                                                                      0          1
  RELAX_NULL_RETURN                                                                        0          1
  RELAX_NEW_ARRAY                                                                          0          1
  RELAX_DELETE_ARRAY                                                                       0          1
  RELAX_ITERATOR_RETURNS                                                                   0          1
  RELAX_ITERATOR_SINKS                                                                     0          1
  HBM_EQUALSORHASHCODE                                                                     0          1
  HBM_MAYSETID                                                                             0          1
  RELAX_ORM_LOAD                                                                           0          1
  RELAX_STREAM_STATE                                                                       0          1
  SMART_PTRS_SIDE_EFFECT_SOURCE                                                            0          1
  NATIVE_PTR_USE_SINK                                                                      0          1
  COMPARE_FLOATS_SINK                                                                      0          1
  RETURN_FLOATS_SOURCE                                                                     0          1
  RELAX_ESCAPE_TO_GLOBAL                                                                   0          1
  RELAX_JAVASCRIPT_OPTIONAL_CONSTRUCTOR                                                    0          1
  RELAX_NOTHING                                                                            0          1
  RELAX_ASPNET_MVC_VERSION_HEADER                                                          0          1
  RELAX_DATAFLOW_PRIMITIVES                                                                0          1
  RELAX_TAINT                                                                              0          1
  RELAX_CRYPTO_PRIMITIVES                                                                  0          1
  DERIVE_DYNAMIC_MAP_RW_MODELS                                                             0          1
  RELAX_AUTHZ                                                                              0          1
  RELAX_CSRF                                                                               0          1
  RELAX_BAD_CERT_VERIFICATION                                                              0          1
  RELAX_ANDROID_MISSING_PERMISSION                                                         0          1
  RELAX_ANDROID_IMPLICIT_INTENT                                                            0          1
  RELAX_PREDICTABLE_RANDOM_SEED                                                            0          1
  RELAX_INSECURE_COMMUNICATION                                                             0          1
  DUMMY_DERIVER_SECURITY                                                                   0          1
  RELAX_PARAM_NAMES                                                                        0          1
  RELAX_BENIGN_CLOSURE                                                                     0          1
  RELAX_SIDE_EFFECT_FREE                                                                   0          1
  SEALED_METHOD                                                                            0          1
  RELAX_ANDROID_PERMISSIONS                                                                0          1
  DUMMY_DERIVER_STACK_USE                                                                  0          1
  RELAX_MAYWRITE                                                                           0          1
  RELAX_UNINIT                                                                             0          1
  RELAX_UNINIT_ALLOC                                                                       0          1
  DUMMY_DERIVER_UNINIT                                                                     0          1
  DERIVE_PTR_ARITH                                                                         0          1
  DUMMY_DERIVER_PTR_ARITH                                                                  0          1
  RELAX_UNCAUGHT_EXCEPT                                                                    0          1
  DUMMY_DERIVER_EXCEPTIONS                                                                 0          1
  RELAX_GLOBAL_INIT_ORDER_SOURCE                                                           0          1
  RELAX_UNNECESSARY_STRING_COPY_SOURCE                                                     0          1
  DUMMY_DERIVER_FLOW_INSENSITIVE                                                           0          1
  CHECKED_FIELD_STAT                                                                       0          1
  CHECKED_RETURN_STAT                                                                      0          1
  CALL_SUPER_STAT                                                                          0          1
  BAD_EQ_STAT                                                                              0          1
  BAD_LOCK_OBJECT_LOCK_SOURCE_STAT                                                         0          1
  IDENTIFIER_TYPO_STAT                                                                     0          1
  NON_STATIC_GUARDING_STATIC_STAT                                                          0          1
  VOLATILE_ATOMICITY_STAT                                                                  0          1
  CODEXM_FUNCTIONS_STAT_PASS                                                               0          1
  DTOR_EMPTINESS_STAT                                                                      0          1
  MOVE_ASSIGN_STAT                                                                         0          1
  UNIQUE_SYMBOL_PREV_PASS_FUNCTION_ODR_HASH_GATHERER                                       0          1
  BUILD_SINK_TYPE_GRAPH                                                                    0          1
  DERIVE_EL_BEAN_RW                                                                        0          1
  DERIVE_DYNAMIC_MAP_RW_ACCESSES                                                           0          1
  RELAX_CSRF_FILTERS                                                                       0          1
  WEBFORMS_DOM                                                                             0          1
  RAZOR_SECTIONS                                                                           0          1
  BUILD_STRING_GRAPH                                                                       0          1
  AUTHZ_STAT                                                                               0          1
  CSRF_STAT                                                                                0          1
  ANDROID_CAPABILITY_LEAK                                                                  0          1
  __CSRF_JAVA_CSHARP                                                                       0          1
  __MASS_ASSIGNMENT_JAVA_CSHARP                                                            0          1
  __MISSING_AUTHZ_JAVA_CSHARP                                                              0          1
  __XSS_STRING_GRAPH                                                                       0          1
  DATAFLOW_CALLGRAPH_CHECKER                                                               0          1
  BUDA_DIRECTIVES_TYPE_INFERENCE_CHECKER                                                   0          1
  TANDEM_DATAFLOW_CHECKER_INFRASTRUCTURE_DYNAMICS_1                                        0          1
  __REGEX_INJECTION_BUDA                                                                   0          2
  __HEADER_INJECTION_JS                                                                    0          2
  __COOKIE_INJECTION_BUDA_JS                                                               0          2
  __PATH_MANIPULATION_BUDA_JS                                                              0          2
  __OS_CMD_INJECTION_BUDA.TANDEM                                                           0          2
  __SCRIPT_CODE_INJECTION_BUDA_JS                                                          0          2
  __NOSQL_QUERY_INJECTION_BUDA.TANDEM                                                      0          2
  DOM_XSS                                                                                  0          2
  LOCALSTORAGE_MANIPULATION                                                                0          2
  SESSIONSTORAGE_MANIPULATION                                                              0          2
  __URL_MANIPULATION_BUDA_DYNAMICS_JS                                                      0          2
  __TAINTED_ENVIRONMENT_WITH_EXECUTION_BUDA                                                0          2
  CSS_INJECTION                                                                            0          2
  __XSS_BUDA.TANDEM                                                                        0          2
  ANGULAR_EXPRESSION_INJECTION                                                             0          2
  __UNSAFE_DESERIALIZATION_BUDA.TANDEM                                                     0          2
  __TEMPLATE_INJECTION_BUDA_JS                                                             0          2
  __REGEX_INJECTION_BUDA_PYTHON                                                            0          1
  __PATH_MANIPULATION_BUDA_NONJS                                                           0          1
  __SCRIPT_CODE_INJECTION_BUDA_NONJS                                                       0          1
  __URL_MANIPULATION_BUDA_DYNAMICS_NOJS                                                    0          1
  __UNSAFE_DESERIALIZATION_BUDA                                                            0          1
  __HARDCODED_CREDENTIALS_BUDA_DYNAMICS                                                    0          1
  __OPEN_REDIRECT_BUDA_DYNAMICS                                                            0          1
  __SQLI_BUDA_DYNAMICS                                                                     0          1
  __SENSITIVE_DATA_LEAK_BUDA_DYNAMICS                                                      0          1
  __MASS_ASSIGNMENT_BUDA                                                                   0          1
  __INSECURE_RANDOM_BUDA_DYNAMICS                                                          0          1
  __INSUFFICIENT_LOGGING_BUDA_DYNAMICS                                                     0          1
  __XML_EXTERNAL_ENTITY_BUDA_DYNAMICS                                                      0          1
  __COOKIE_INJECTION_BUDA_PYTHON                                                           0          1
  __OS_CMD_INJECTION_BUDA                                                                  0          1
  __NOSQL_QUERY_INJECTION_BUDA                                                             0          1
  __XSS_BUDA                                                                               0          1
  __TEMPLATE_INJECTION_BUDA_PYTHON                                                         0          1
  CODEXM_BUDA_CHECKER                                                                    109          1
    parseBuiltinCheckers                                                                 109          1
  __HEADER_INJECTION_BUDA                                                                  0          1
  UNCHECKED_ORIGIN                                                                         0          1
  MISSING_IFRAME_SANDBOX                                                                   0          1
  __CSRF_BUDA                                                                              0          1
  __RISKY_CRYPTO_BUDA                                                                      0          1
  __INSECURE_SALT_BUDA                                                                     0          1
  __MISSING_AUTHZ_BUDA_STATS                                                               0          1
  __MISSING_AUTHZ_BUDA                                                                     0          1
  DATAFLOW_PREPASS_RESOLUTION_CHECKER                                                      0          1
  TANDEM_DATAFLOW_CHECKER_INFRASTRUCTURE_STATICS                                           0          1
  EL_INJECTION                                                                             0          2
  __HEADER_INJECTION_STATICS                                                               0          2
  JAVA_CODE_INJECTION                                                                      0          2
  JCR_INJECTION                                                                            0          2
  JSP_DYNAMIC_INCLUDE                                                                      0          2
  JSP_SQL_INJECTION                                                                        0          2
  LDAP_INJECTION                                                                           0          2
  __NOSQL_QUERY_INJECTION_STATICS                                                          0          2
  OGNL_INJECTION                                                                           0          2
  __REGEX_INJECTION_STATICS                                                                0          2
  __SCRIPT_CODE_INJECTION_STATICS                                                          0          2
  __SESSION_FIXATION_STATICS                                                               0          2
  __SESSION_FIXATION_STATICS_GO                                                            0          1
  TRUST_BOUNDARY_VIOLATION                                                                 0          2
  UNKNOWN_LANGUAGE_INJECTION                                                               0          2
  UNRESTRICTED_DISPATCH                                                                    0          2
  __UNSAFE_DESERIALIZATION_STATICS                                                         0          2
  __UNSAFE_JNI_STATICS                                                                     0          2
  UNSAFE_NAMED_QUERY                                                                       0          2
  __XPATH_INJECTION_STATICS                                                                0          2
  __XPATH_INJECTION_STATICS_JAVA                                                           0          2
  __UNSAFE_REFLECTION_STATICS                                                              0          2
  __TAINTED_ENVIRONMENT_WITH_EXECUTION_STATICS                                             0          2
  __HEADER_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                                        0          1
  __HEADER_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH2                                       0          2
  __NOSQL_QUERY_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                                   0          1
  __PATH_MANIPULATION_BUDA_STATICS_NO_BUDA_CALLGRAPH                                       0          1
  __TAINTED_ENVIRONMENT_WITH_EXECUTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                      0          1
  __TEMPLATE_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                                      0          1
  __URL_MANIPULATION_BUDA_STATICS_NO_BUDA_CALLGRAPH                                        0          1
  __UNSAFE_JNI_BUDA_STATICS_NO_BUDA_CALLGRAPH                                              0          2
  __XPATH_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                                         0          1
  __XPATH_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH2                                        0          2
  __REGEX_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                                         0          2
  __REGEX_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_GO                                      0          1
  __SCRIPT_CODE_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                                   0          2
  __SCRIPT_CODE_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_GO                                0          1
  __WEAK_PASSWORD_HASH_BUDA_STATICS                                                        0          1
  __HARDCODED_CREDENTIALS_BUDA_STATICS_NO_CALLGRAPH                                        0          1
  __XML_EXTERNAL_ENTITY_BUDA_JAVA_DOTNET                                                   0          1
  __INSECURE_RANDOM_BUDA_STATICS                                                           0          2
  __WEAK_GUARD_BUDA_STATICS                                                                0          1
  __OPEN_REDIRECT_BUDA_STATICS                                                             0          1
  __OS_CMD_INJECTION_BUDA_STATICS                                                          0          1
  __OS_CMD_INJECTION_BUDA_STATICS_TANDEM                                                   0          2
  __PATH_MANIPULATION_BUDA_STATICS                                                         0          1
  __RISKY_CRYPTO_BUDA_STATICS                                                              0          1
  __SENSITIVE_DATA_LEAK_BUDA_STATICS                                                       0          1
  __SQLI_BUDA_STATICS                                                                      0          1
  __SQLI_BUDA_STATICS_GO                                                                   0          1
  __SSRF_BUDA_STATICS                                                                      0          1
  __TAINT_ASSERT_BUDA_STATICS                                                              0          2
  __UNENCRYPTED_SENSITIVE_DATA_BUDA_STATICS_NO_CALLGRAPH                                   0          1
  __URL_MANIPULATION_BUDA_STATICS                                                          0          1
  __XSS_BUDA_STATICS_NO_BUDA_CALLGRAPH                                                     0          1
  __INSUFFICIENT_LOGGING_BUDA_STATICS                                                      0          1
  __MOBILE_ID_MISUSE_BUDA_STATICS                                                          0          1
  UNRESTRICTED_ACCESS_TO_FILE_BUDA_STATICS                                                 0          2
  __UNSAFE_DESERIALIZATION_BUDA_STATICS_JAVA                                               0          1
  TANDEM_DATAFLOW_CHECKER_INFRASTRUCTURE_STATICS_WORMHOLING                                0          1
  EL_INJECTION_WORMHOLING                                                                  0          2
  __HEADER_INJECTION_STATICS_WORMHOLING                                                    0          2
  JAVA_CODE_INJECTION_WORMHOLING                                                           0          2
  JCR_INJECTION_WORMHOLING                                                                 0          2
  JSP_DYNAMIC_INCLUDE_WORMHOLING                                                           0          2
  JSP_SQL_INJECTION_WORMHOLING                                                             0          2
  LDAP_INJECTION_WORMHOLING                                                                0          2
  __NOSQL_QUERY_INJECTION_STATICS_WORMHOLING                                               0          2
  OGNL_INJECTION_WORMHOLING                                                                0          2
  __REGEX_INJECTION_STATICS_WORMHOLING                                                     0          2
  __SCRIPT_CODE_INJECTION_STATICS_WORMHOLING                                               0          2
  __SESSION_FIXATION_STATICS_WORMHOLING                                                    0          2
  __SESSION_FIXATION_STATICS_GO_WORMHOLING                                                 0          1
  TRUST_BOUNDARY_VIOLATION_WORMHOLING                                                      0          2
  UNKNOWN_LANGUAGE_INJECTION_WORMHOLING                                                    0          2
  UNRESTRICTED_DISPATCH_WORMHOLING                                                         0          2
  __UNSAFE_DESERIALIZATION_STATICS_WORMHOLING                                              0          2
  __UNSAFE_JNI_STATICS_WORMHOLING                                                          0          2
  UNSAFE_NAMED_QUERY_WORMHOLING                                                            0          2
  __XPATH_INJECTION_STATICS_WORMHOLING                                                     0          2
  __XPATH_INJECTION_STATICS_JAVA_WORMHOLING                                                0          2
  __UNSAFE_REFLECTION_STATICS_WORMHOLING                                                   0          2
  __TAINTED_ENVIRONMENT_WITH_EXECUTION_STATICS_WORMHOLING                                  0          2
  __HEADER_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                             0          1
  __HEADER_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH2_WORMHOLING                            0          2
  __NOSQL_QUERY_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                        0          1
  __PATH_MANIPULATION_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                            0          1
  __TAINTED_ENVIRONMENT_WITH_EXECUTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING           0          1
  __TEMPLATE_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                           0          1
  __URL_MANIPULATION_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                             0          1
  __UNSAFE_JNI_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                                   0          2
  __XPATH_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                              0          1
  __XPATH_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH2_WORMHOLING                             0          2
  __REGEX_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                              0          2
  __REGEX_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_GO_WORMHOLING                           0          1
  __SCRIPT_CODE_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                        0          2
  __SCRIPT_CODE_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH_GO_WORMHOLING                     0          1
  __WEAK_PASSWORD_HASH_BUDA_STATICS_WORMHOLING                                             0          1
  __HARDCODED_CREDENTIALS_BUDA_STATICS_NO_CALLGRAPH_WORMHOLING                             0          1
  __XML_EXTERNAL_ENTITY_BUDA_JAVA_DOTNET_WORMHOLING                                        0          1
  __INSECURE_RANDOM_BUDA_STATICS_WORMHOLING                                                0          2
  __WEAK_GUARD_BUDA_STATICS_WORMHOLING                                                     0          1
  __OPEN_REDIRECT_BUDA_STATICS_WORMHOLING                                                  0          1
  __OS_CMD_INJECTION_BUDA_STATICS_WORMHOLING                                               0          1
  __OS_CMD_INJECTION_BUDA_STATICS_TANDEM_WORMHOLING                                        0          2
  __PATH_MANIPULATION_BUDA_STATICS_WORMHOLING                                              0          1
  __RISKY_CRYPTO_BUDA_STATICS_WORMHOLING                                                   0          1
  __SENSITIVE_DATA_LEAK_BUDA_STATICS_WORMHOLING                                            0          1
  __SQLI_BUDA_STATICS_WORMHOLING                                                           0          1
  __SQLI_BUDA_STATICS_GO_WORMHOLING                                                        0          1
  __SSRF_BUDA_STATICS_WORMHOLING                                                           0          1
  __TAINT_ASSERT_BUDA_STATICS_WORMHOLING                                                   0          2
  __UNENCRYPTED_SENSITIVE_DATA_BUDA_STATICS_NO_CALLGRAPH_WORMHOLING                        0          1
  __URL_MANIPULATION_BUDA_STATICS_WORMHOLING                                               0          1
  __XSS_BUDA_STATICS_NO_BUDA_CALLGRAPH_WORMHOLING                                          0          1
  __INSUFFICIENT_LOGGING_BUDA_STATICS_WORMHOLING                                           0          1
  __MOBILE_ID_MISUSE_BUDA_STATICS_WORMHOLING                                               0          1
  UNRESTRICTED_ACCESS_TO_FILE_BUDA_STATICS_WORMHOLING                                      0          2
  __UNSAFE_DESERIALIZATION_BUDA_STATICS_JAVA_WORMHOLING                                    0          1
  BAD_OVERRIDE                                                                             0          1
  MISSING_MOVE_ASSIGNMENT                                                                  0          1
  CODEXM_DECLS_STAT_PASS                                                                   0          1
  CODEXM_TEXT_STAT_PASS                                                                    0          1
  CODEXM_CLASSES_STAT_PASS                                                                 0          1
  UNIQUE_SYMBOL_CHECKER                                                                    0          1
  __CONFIG.UNSAFE_SESSION_TIMEOUT_JAVA                                                     0          1
  CONFIG.HANA_XS_PREVENT_XSRF_DISABLED                                                     0          1
  CONFIG.DEAD_AUTHORIZATION_RULE                                                           0          1
  __CONFIG.ENABLED_DEBUG_MODE_DOTNET                                                       0          1
  CONFIG.ENABLED_TRACE_MODE                                                                0          1
  CONFIG.ASP_VIEWSTATE_MAC                                                                 0          1
  CONFIG.DYNAMIC_DATA_HTML_COMMENT                                                         0          1
  SEALED_JAR_ESCAPE                                                                        0          1
  GLOBAL_INIT_ORDER                                                                        0          1
  CODEXM_FUNCTIONS_CHECKER_PASS_AFTER_TUS                                                  0          1
  INCOMPLETE_DEALLOCATOR                                                                   0          1
  OVERLAPPING_COPY                                                                         0          1
  UNCAUGHT_EXCEPT                                                                          0          1
  CODEXM                                                                                   0          1
  CONFIG.ANDROID_GRADLE_OBFUSCATION_NOT_ENABLED                                            0          1
  ANGULAR_SCE_DISABLED                                                                     0          1
  __BAD_CERT_VERIFICATION_CODEXM_GO                                                        0          1
  __BAD_CERT_VERIFICATION_CODEXM_JAVA                                                      0          1
  __BAD_CERT_VERIFICATION_CODEXM_JS                                                        0          1
  __BAD_CERT_VERIFICATION_CODEXM_PYTHON                                                    0          1
  CONFIG.BEEGO_CSRF_PROTECTION_DISABLED                                                    0          1
  UNLESS_CASE_SENSITIVE_ROUTE_MATCHING                                                     0          1
  __HARDCODED_CREDENTIALS_URL                                                              0          1
  __HARDCODED_CREDENTIALS_CODEXM_PYTHON                                                    0          1
  INSECURE_CSP                                                                             0          1
  INSECURE_FILE_PERMISSIONS                                                                0          1
  __JSONWEBTOKEN_UNTRUSTED_DECODE_CODEXM_GO                                                0          1
  __SOCKET_ACCEPT_ALL_ORIGINS_CODEXM_GO                                                    0          1
  SUPPRESSED_ERROR                                                                         0          1
  __UNSAFE_BASIC_AUTH_CODEXM_GO                                                            0          1
  __UNSAFE_FUNCTIONALITY_GO                                                                0          1
  __CONFIG.UNSAFE_SESSION_TIMEOUT_CODEXM_GO                                                0          1
  __WEAK_PASSWORD_HASH_CODEXM_PYTHON                                                       0          1
  CUDA.COLLECTIVE_WARP_SHUFFLE_WIDTH                                                       0          1
  CUDA.CUDEVICE_HANDLES                                                                    0          1
  CUDA.DEVICE_DEPENDENT                                                                    0          1
  CUDA.DEVICE_DEPENDENT_CALLBACKS                                                          0          1
  CUDA.ERROR_INTERFACE                                                                     0          1
  CUDA.ERROR_KERNEL_LAUNCH                                                                 0          1
  CUDA.FORK                                                                                0          1
  CUDA.INITIATION_OBJECT_DEVICE_THREAD_BLOCK                                               0          1
  CUDA.SYNCHRONIZE_CALLBACKS                                                               0          1
  CUDA.SYNCHRONIZE_TERMINATION                                                             0          1
  INEFFICIENT_RESERVE                                                                      0          1
  WRITE_CONST_FIELD                                                                        0          1
  Y2K38_SAFETY                                                                             0          1
  CUDA.SPECIFIERS_INCONSISTENCY                                                            0          1
  __BAD_CERT_VERIFICATION_BRAKEMAN                                                         0          1
  DENY_LIST_FOR_AUTHN                                                                      0          1
  COOKIE_SERIALIZER_CONFIG                                                                 0          1
  __CSRF_BRAKEMAN                                                                          0          1
  __DIVIDE_BY_ZERO_BRAKEMAN                                                                0          1
  DYNAMIC_OBJECT_ATTRIBUTES                                                                0          1
